,Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint,County
1793,31316,Ludowici,GA,31.749909999999996,-81.75813000000001,-5,1,"31.74991,-81.75813",Perry County
1794,31534,Douglas,GA,31.571596000000003,-82.85463100000001,-5,1,"31.571596,-82.854631",Douglas County
1818,31131,Atlanta,GA,33.844371,-84.47405,-5,1,"33.844371,-84.47405",Fulton County
1863,30312,Atlanta,GA,33.745739,-84.3764,-5,1,"33.745739,-84.3764",Fulton County
1902,30141,Hiram,GA,33.867574,-84.77103000000001,-5,1,"33.867574,-84.77103",Paulding County
1905,30814,Harlem,GA,33.423590000000004,-82.31013,-5,1,"33.42359,-82.31013",New York County
1906,31057,Marshallville,GA,32.446656,-83.93413000000001,-5,1,"32.446656,-83.93413",Wayne County
1907,31795,Ty Ty,GA,31.47387,-83.66484,-5,1,"31.47387,-83.66484",Tift County
1932,30458,Statesboro,GA,32.423083,-81.80677,-5,1,"32.423083,-81.80677",Bulloch County
1982,31299,Macon,GA,32.806707,-83.691315,-5,1,"32.806707,-83.691315",Bibb County
2050,31498,Savannah,GA,31.971394,-81.07155999999999,-5,1,"31.971394,-81.07156",Chatham County
2089,31555,Odum,GA,31.670475,-82.04944,-5,1,"31.670475,-82.04944",Oklahoma County
2116,31700,Albany,GA,31.564273999999997,-84.165407,-5,1,"31.564274,-84.165407",Albany County
2137,31072,Pitts,GA,31.951839,-83.56747,-5,1,"31.951839,-83.56747",Montgomery County
2224,30439,Metter,GA,32.414401,-82.05534,-5,1,"32.414401,-82.05534",Candler County
2283,31836,Woodland,GA,32.797475,-84.54095,-5,1,"32.797475,-84.54095",Yolo County
2359,30448,Nunez,GA,32.49126,-82.36787,-5,1,"32.49126,-82.36787",St. Bernard Parish
2360,30833,Wrens,GA,33.200325,-82.37625,-5,1,"33.200325,-82.37625",Jefferson County
2385,31020,Dry Branch,GA,32.719907,-83.4905,-5,1,"32.719907,-83.4905",Twiggs County
2583,30139,Fairmount,GA,34.434629,-84.70133,-5,1,"34.434629,-84.70133",Sedgwick County
2611,31318,Meldrim,GA,32.141974,-81.37892,-5,1,"32.141974,-81.37892",Effingham County
2654,30453,Reidsville,GA,32.057356,-82.1214,-5,1,"32.057356,-82.1214",Rockingham County
2666,31740,Cuthbert,GA,31.781815,-84.76444000000001,-5,1,"31.781815,-84.76444",Randolph County
2741,30072,Pine Lake,GA,33.791505,-84.20642,-5,1,"33.791505,-84.20642",DeKalb County
2844,30527,Clermont,GA,34.481514000000004,-83.78599,-5,1,"34.481514,-83.78599",Lake County
2846,31310,Hinesville,GA,31.806832,-81.437074,-5,1,"31.806832,-81.437074",Liberty County
2860,31510,Alma,GA,31.551458,-82.44618,-5,1,"31.551458,-82.44618",Crawford County
2903,31017,Danville,GA,32.600844,-83.24549,-5,1,"32.600844,-83.24549",Contra Costa County
2973,31213,Macon,GA,32.839289,-83.638752,-5,1,"32.839289,-83.638752",Bibb County
2975,31636,Lake Park,GA,30.722890000000003,-83.13302,-5,1,"30.72289,-83.13302",San Luis Obispo County
3073,30058,Lithonia,GA,33.750257,-84.0964,-5,1,"33.750257,-84.0964",DeKalb County
3092,30669,Union Point,GA,33.652489,-83.08856999999999,-5,1,"33.652489,-83.08857",Tulsa County
3145,30157,Dallas,GA,33.892503999999995,-84.8346,-5,1,"33.892504,-84.8346",Dallas County
3224,30881,Atlanta,GA,33.793006,-84.504081,-5,1,"33.793006,-84.504081",Fulton County
3234,30322,Atlanta,GA,33.793754,-84.3238,-5,1,"33.793754,-84.3238",Fulton County
3305,30426,Girard,GA,33.032445,-81.63251,-5,1,"33.032445,-81.63251",Crawford County
3306,30739,Rock Spring,GA,34.801988,-85.21956,-5,1,"34.801988,-85.21956",Walker County
3373,31013,Clinchfield,GA,32.338639,-83.692562,-5,1,"32.338639,-83.692562",Unicoi County
