,ZIP,City,State,Latitude,Longitude,County,Median Income,Population
370,30356,Atlanta,GA,33.891251000000004,-84.07455999999998,Fulton County,,
371,30047,Lilburn,GA,33.872371,-84.11655,Gwinnett County,31381,65420
372,30543,Gillsville,GA,34.29945900000001,-83.65226,Banks County,24277,4853
373,31799,Thomasville,GA,30.880968,-83.885902,Thomas County,,
374,31106,Atlanta,GA,33.844371,-84.47405,Fulton County,,
375,30662,Royston,GA,34.270167,-83.12841999999998,Franklin County,19505,9077
376,30035,Decatur,GA,33.725739000000004,-84.21114,DeKalb County,25570,22697
377,30456,Sardis,GA,32.969028,-81.79396,Montgomery County,20675,1936
378,31773,Ochlocknee,GA,30.977162,-84.0615,Thomas County,24837,3547
379,30525,Clayton,GA,34.882362,-83.4156,Johnston County,19946,7305
