,City,County,City Latitude,City Longtitude,Population,Median Income,WithinFiveMiles,WithinTenMiles,WithinTwentyMiles,WithinFiftyMiles,WithinHundredMiles,DistanceToNearestHospital
209,Clinchfield,,32.338639,-83.692562,12322,22063,0,0,5,15,51,12.539475249613634
210,Clyo,,32.508239,-81.3128,2621,26986,0,1,1,9,22,9.927892028430856
211,Cobb,,31.959367,-83.96028000000003,715,15755,0,0,2,15,42,10.586078089448046
212,Cobbtown,,32.301639,-82.11842,845,22266,0,1,4,12,39,7.894820759776606
213,Cohutta,,34.935105,-84.94641999999997,7154,31602,0,0,3,8,49,10.239348211548961
214,Colbert,,34.041416,-83.21996999999998,6874,26875,0,0,2,16,67,11.611402912296477
215,Collins,,32.186824,-82.10699,3322,22727,0,1,4,12,40,7.324207542441584
216,Comer,,34.072573,-83.11913,4735,22107,0,0,2,13,65,14.295303936157216
217,Concord,,33.109599,-84.45541,3609,31576,0,0,2,27,73,14.099225763749056
218,Conley,,33.647275,-84.32753000000002,9230,27808,0,7,20,44,79,5.893602312977469
219,Coolidge,,31.012042,-83.87218,1935,24940,0,1,2,12,24,9.544508888271636
220,Coosa,,34.333308,-85.233721,41961,24184,1,2,2,15,54,4.48341428521613
221,Cornelia,,34.514215,-83.54118000000003,10818,25113,1,1,2,14,61,4.6124254484290566
222,Cotton,,31.260443,-84.253089,9998,22604,1,1,1,7,25,3.529949949295656
223,Crandall,,34.93882,-84.76558,3551,26672,0,0,2,7,52,10.995928608467969
224,Crawford,,33.892957,-83.15548000000003,2264,21301,0,0,1,16,72,14.70871057443452
225,Crawfordville,,33.570317,-82.88542,1647,19830,0,0,1,11,69,13.670574158026588
226,Crescent,,31.49507100000001,-81.381908,0,-666666666,0,0,0,5,18,22.84272987680463
227,Culloden,,32.861386,-84.11731999999998,2033,20720,0,0,2,15,71,12.873342771852471
228,Cusseta,,32.285535,-84.76332,2431,21033,0,0,1,6,33,18.553612883052313
229,Dacula,,33.981721,-83.88302,49262,38465,0,2,5,39,77,7.826970881172923
230,Daisy,,32.150061,-81.83478000000002,121,18750,1,1,3,14,29,3.9120966185060593
231,Dallas,,33.919119499999994,-84.83961500000002,44891,32294,1,1,6,39,68,3.557485609443532
232,Danielsville,,34.17085,-83.24654,9227,26681,0,0,3,15,67,13.137592688440852
233,Danville,,32.600844,-83.24549,1913,20712,0,0,2,13,56,16.02554576587897
234,Darien,,31.407598,-81.39094,5983,23883,0,0,1,5,17,16.92641418528554
235,Davisboro,,32.976548,-82.61607,2674,7448,0,0,1,10,47,11.000489676311098
236,Dawsonville,,34.416521,-84.10849,28843,30879,0,0,4,39,66,10.54771533952911
237,De Soto,,31.930451,-84.02920999999998,444,9976,0,0,2,11,41,14.919746729342288
