,City,County,City Latitude,City Longitude,Population,Median Income,Acute Care Beds,WithinFiveMiles,WithinTenMiles,WithinTwentyMiles,WithinFiftyMiles,WithinHundredMiles,DistanceToNearestHospital,BedsPer1000
235,Ellerslie,Weld County,32.634965,-84.80136999999998,3215,29924,0,0,0,3,6,58,11.1459890528964,0.0
236,Ellijay,Gilmer County,34.688716,-84.46715999999998,20169,22275,0,0,0,3,16,60,16.64596758901945,0.0
237,Emerson,Tulsa County,34.124283,-84.75579,1807,24091,0,0,1,4,40,67,5.7564496101008364,0.0
238,Enigma,Tulsa County,31.439212,-83.34040999999998,2649,22908,0,0,1,4,14,35,9.16797517113433,0.0
239,Epworth,Blair County,34.925622,-84.42981,1580,23077,0,1,1,1,10,53,3.1966338200185533,0.0
240,Evans,Washington County,33.551145,-82.13949000000002,45542,41069,0,0,2,4,5,29,5.168889621530795,0.0
241,Fairburn,Fulton County,33.565661999999996,-84.59321,32729,30412,0,0,1,9,43,74,9.202390598209165,0.0
242,Fairmount,Sedgwick County,34.434629,-84.70133,4143,28901,0,0,0,4,34,62,13.85910562668504,0.0
243,Fargo,Cass County,30.680867,-82.58028,415,25509,0,0,0,0,4,19,26.675492997171084,0.0
244,Fleming,Tulsa County,31.873145,-81.42676,923,19800,0,0,0,1,9,19,10.50437493367982,0.0
245,Flintstone,Walker County,34.932348,-85.35064,4646,21244,0,0,1,1,6,42,5.019729689411756,0.0
246,Flovilla,Butts County,33.251174,-83.89284,2376,15399,0,0,1,3,33,77,6.109395327916036,0.0
247,Flowery Branch,Hall County,34.188280999999996,-83.91813,37056,33127,0,0,2,7,41,73,6.568843260389139,0.0
248,Folkston,Charlton County,30.860915000000002,-82.02194,10970,22647,0,0,0,0,4,21,24.805501164314304,0.0
249,Fort Stewart,Liberty County,31.868699,-81.61083,9275,27002,0,1,1,1,10,22,2.0951346655585463,0.0
250,Fort Valley,Peach County,32.555679999999995,-83.88641,17701,18661,0,0,1,4,15,68,8.153254966932645,0.0
251,Fortson,McLennan County,32.638884999999995,-85.00735999999998,6961,41761,0,0,1,2,5,53,7.899162874795829,0.0
252,Franklin,Crawford County,33.298014,-85.12243000000002,9144,25124,0,0,0,2,13,63,18.77304543138916,0.0
253,Garfield,Labette County,32.632683,-82.036,1339,25313,0,0,0,3,9,35,13.223164619962262,0.0
254,Gay,Tulsa County,33.121379,-84.58776,1628,31030,0,0,0,2,26,72,16.924489045268476,0.0
255,Geneva,Geneva,32.577909999999996,-84.54513,245,15083,0,0,0,0,11,63,22.917566220391382,0.0
256,Gibson,Montgomery County,33.236721,-82.58135,1906,23345,0,0,0,0,11,44,20.262372205337087,0.0
257,Gillsville,Banks County,34.29945900000001,-83.65226,4853,24277,0,0,1,3,30,67,9.358266822796438,0.0
258,Girard,Crawford County,33.032445,-81.63251,782,20893,0,0,0,1,9,22,19.48981171632376,0.0
259,Glennville,Tattnall County,31.945767,-81.93594,12301,23832,0,0,0,2,10,28,13.76332809017653,0.0
260,Glenwood,Garfield County,32.190739,-82.69115,2783,19120,0,0,0,1,11,53,18.522415788817188,0.0
261,Good Hope,Harris County,33.766057,-83.57597,1957,30071,0,0,0,4,37,81,10.282082171539184,0.0
262,Gordon,Butler County,32.891498999999996,-83.32748000000002,6213,23844,0,0,0,4,18,78,14.465505149074064,0.0
263,Gracewood,Tulsa County,33.386041,-82.09099599999998,394,16385,0,0,4,4,7,28,6.911437749455198,0.0
264,Grantville,San Diego County,33.230734000000005,-84.82543000000003,5375,26820,0,0,1,3,24,68,9.654393268044691,0.0
265,Gray,Jones County,33.003454999999995,-83.55078,15113,31832,0,0,0,5,20,81,11.49408773692728,0.0
266,Grayson,Knox County,33.888829,-83.96848,24416,39645,0,0,1,12,43,77,5.846595314114264,0.0
267,Greenville,Greenville County,33.034760999999996,-84.73593000000002,4116,20864,0,0,0,2,14,69,10.479343251991303,0.0
268,Grovetown,Columbia County,33.459489000000005,-82.20102,44065,33210,0,0,1,5,7,31,6.421485217543626,0.0
269,Guyton,Effingham County,32.313815999999996,-81.3908,20297,35947,0,0,1,1,10,21,5.38756598821996,0.0
270,Haddock,Sedgwick County,33.053288,-83.43902,1815,32917,0,0,0,6,18,79,11.511254851375956,0.0
271,Hagan,Evans County,32.159458,-81.93724,210,19018,0,1,1,3,13,31,2.30185347982255,0.0
272,Hahira,Lowndes County,30.991859,-83.36415,12958,26817,0,0,1,5,13,25,8.870352109772785,0.0
273,Hamilton,Greenwood County,32.722333,-84.95803000000002,6272,30356,0,0,0,3,7,56,12.943707894899735,0.0
274,Harlem,New York County,33.423590000000004,-82.31013,8538,24462,0,0,0,5,7,36,13.022030795644184,0.0
275,Harrison,Boone County,32.835471000000005,-82.70761,1261,28586,0,0,0,1,8,47,12.397388221047537,0.0
276,Hartwell,Hart County,34.366948,-82.9201,16009,21124,0,0,0,2,5,53,13.114226967475838,0.0
277,Helen,White County,34.713440999999996,-83.74189,698,28750,0,0,0,4,13,60,14.812241927977167,0.0
278,Helena,Lewis and Clark County,32.094127,-82.91713,4619,16687,0,0,0,1,10,48,16.534195148860363,0.0
279,Hephzibah,Richmond County,33.32157,-82.08872,40347,25155,0,0,0,4,8,27,10.772934782634993,0.0
280,Hillsboro,Washington County,33.172786,-83.63554,566,28059,0,0,0,2,21,82,10.197296099370163,0.0
281,Hoboken,Hudson County,31.1747,-82.13812,3170,22297,0,0,0,1,6,27,12.907575925554584,0.0
282,Hogansville,Troup County,33.173516,-84.91736999999998,9470,21308,0,0,0,3,13,67,12.793656881430657,0.0
283,Homer,Stone County,34.348822,-83.47738000000003,3209,20156,0,0,1,4,16,64,8.946962893757135,0.0
284,Hortense,Indian River County,31.320166999999998,-81.85818,4292,21034,0,0,0,1,5,26,19.49527667268758,0.0
285,Hoschton,Jackson County,34.097915,-83.77864,18630,36589,0,1,2,5,38,73,3.734561274918245,0.0
286,Ideal,Tulsa County,32.371371,-84.18258,689,14451,0,0,0,1,17,58,10.395010825536234,0.0
287,Irwinton,Wilkinson County,32.7615,-83.1612,1477,22485,0,0,0,0,17,64,23.13900980262722,0.0
288,Jacksonville,Duval County,31.840974,-82.96137,778,20139,0,0,0,0,11,44,20.16563952640791,0.0
289,Jefferson,Montgomery County,34.112581,-83.58251,24892,30514,0,0,1,4,32,73,9.837321891687203,0.0
290,Jeffersonville,Clark County,32.63078400000001,-83.37026999999998,3463,19853,0,0,0,2,15,67,15.250974914062494,0.0
291,Jenkinsburg,Butts County,33.325951,-84.03345999999998,2060,25606,0,1,1,2,43,80,3.5657689066391836,0.0
292,Jonesboro,Craighead County,33.528345,-84.33346999999998,88804,26293,0,1,1,13,46,80,4.784392586446826,0.0
293,Juliette,Kings County,33.054590999999995,-83.78583,3198,24131,0,0,1,6,19,73,9.397528683559894,0.0
294,Junction City,Geary County,32.614374,-84.44513,585,11987,0,0,0,1,15,67,19.74395579551412,0.0
295,Kathleen,Ottawa County,32.509384000000004,-83.64773000000002,14625,38209,0,0,3,5,16,63,5.025332296463269,0.0
296,Kennesaw,Cobb County,34.038949,-84.59706,99130,35982,0,0,1,12,44,72,5.424521637507634,0.0
297,Keysville,Charlotte County,33.162490000000005,-82.18933,2024,26652,0,0,0,0,9,32,22.978704181387908,0.0
298,Kings Bay,Camden County,30.804684,-81.627717,1420,21594,0,1,1,1,2,15,1.7999117877140096,0.0
299,Kingsland,Llano County,30.793409000000004,-81.68428,21146,27743,0,1,1,1,3,15,4.2008054307483675,0.0
300,Kingston,Caldwell County,34.237986,-84.97801,7142,29190,0,0,0,5,33,62,10.80334759607406,0.0
301,Kite,Sedgwick County,32.69992,-82.51380999999998,1856,23488,0,0,0,1,7,44,12.202834201617193,0.0
302,Knoxville,Knox County,32.742084999999996,-83.94646,861,14004,0,0,0,5,18,75,14.432106269713072,0.0
303,La Fayette,Chambers County,34.696201,-85.25824,20609,21067,0,0,0,2,9,50,16.846756907562735,0.0
304,Lagrange,Troup County,33.036715,-84.98895,54380,23961,0,1,1,1,11,63,4.064631435341222,0.0
305,Lake Park,San Luis Obispo County,30.722890000000003,-83.13302,10640,22008,0,0,0,1,7,21,13.203098730309675,0.0
306,Lakemont,Delaware County,34.763553,-83.44201,1805,25919,0,0,0,2,9,51,12.92469288986943,0.0
307,Leesburg,Loudoun County,31.714526,-84.16931,24186,36161,0,0,2,2,9,35,7.45645761202906,0.0
308,Lenox,Fulton County,31.291612,-83.45328,2891,22323,0,0,0,3,16,30,12.561803889780673,0.0
309,Leslie,Ingham County,31.98309,-84.06866,1514,23716,0,0,0,2,10,39,12.399522225462396,0.0
310,Lexington,Fayette County,33.863779,-83.06063,3094,24657,0,0,0,0,11,68,20.24015127562998,0.0
311,Lilburn,Gwinnett County,33.960353000000005,-84.037859,65420,31381,0,1,2,22,43,77,1.1857597786498517,0.0
312,Lilly,Marion County,32.148624,-83.88003,140,18750,0,0,0,2,15,47,13.134134857292404,0.0
313,Lincolnton,Lincoln County,33.765566,-82.43899,7642,24737,0,0,0,1,6,33,17.10135149547963,0.0
314,Lindale,Smith County,34.175095,-85.18084,4339,22784,0,0,2,3,16,59,5.8001616217601315,0.0
315,Lithia Springs,Douglas County,33.776137,-84.64484,25786,29476,0,0,2,18,42,76,5.624764542460027,0.0
316,Lizella,Bibb County,32.788484000000004,-83.80726,8557,31168,0,0,1,7,17,75,8.691692263747015,0.0
317,Locust Grove,Henry County,33.351277,-84.10645,25161,33352,0,0,1,2,43,80,8.132049863765038,0.0
318,Loganville,Walton County,33.823809000000004,-83.89423000000002,65959,31550,0,0,1,7,43,77,8.459552601920507,0.0
319,Lookout Mountain,Walker County,34.957134,-85.37183,4753,15104,0,0,1,1,6,33,6.160369015261523,0.0
320,Louisville,Jefferson County,33.008983,-82.37799999999999,5386,19028,0,0,0,0,10,37,24.75767248139298,0.0
321,Louvale,Stewart County,32.154164,-84.83856999999998,234,38594,0,0,0,0,4,32,23.99508617183033,0.0
322,Lovejoy,Collin County,33.437428000000004,-84.31519,656,7455,0,0,0,3,42,78,10.686670424029439,0.0
323,Ludowici,Perry County,31.749909999999996,-81.75813000000002,13243,26653,0,0,0,2,11,24,11.11783526240022,0.0
324,Lula,Cook County,34.391688,-83.65979,7687,27146,0,0,0,3,20,67,10.775436739187315,0.0
325,Lumber City,Telfair County,31.928525,-82.69332,2157,17421,0,0,1,1,10,45,7.0537237848675405,0.0
326,Lumpkin,Stewart County,32.030297,-84.81218,3677,15625,0,0,0,0,6,32,32.567859904342846,0.0
327,Luthersville,Meriwether County,33.201986,-84.69943,2316,25291,0,0,0,2,27,72,11.212898243181735,0.0
328,Lyerly,Chattooga County,34.376063,-85.4043,1933,18023,0,0,0,2,9,50,13.791825915981232,0.0
329,Lyons,Rice County,32.177508,-82.30448,12092,22341,0,1,1,2,10,42,4.708708057623542,0.0
330,Mableton,Cobb County,33.817738,-84.56087,41665,36417,0,1,2,21,45,77,3.703554207555956,0.0
331,Manchester,Greater Manchester,32.862377,-84.60879,5231,19761,0,1,1,2,11,69,4.709749954027017,0.0
332,Manor,Travis County,31.101953,-82.58299,801,20547,0,0,0,2,6,30,11.723102057511626,0.0
333,Mansfield,Tarrant County,33.504952,-83.74735,3306,27338,0,0,1,5,40,81,8.818592726638736,0.0
334,Marshallville,Wayne County,32.446656,-83.93413000000002,2238,19246,0,0,0,3,15,60,11.915230885011157,0.0
335,Martin,Montgomery County,34.491828999999996,-83.17539000000002,4813,21529,0,1,1,2,10,57,4.32281326800479,0.0
336,Matthews,Mecklenburg County,33.244828999999996,-82.32636,622,26968,0,0,0,0,8,39,21.368637591700942,0.0
337,Mauk,Taylor County,32.498727,-84.42804,1361,23194,0,0,0,0,11,62,27.202544152931726,0.0
338,Maysville,Mason County,34.258054,-83.56058,5998,20858,0,0,1,4,22,72,5.915959726638657,0.0
339,McCaysville,Fannin County,34.977037,-84.39839,2273,21648,0,1,1,1,9,53,4.310060621929272,0.0
340,McIntyre,Regional Municipality of Durham,32.875574,-83.19785,1543,24091,0,0,0,1,16,74,15.010961665226336,0.0
341,McRae,White County,32.045313,-82.8916,8194,18310,0,0,0,1,10,46,19.369017342857095,0.0
342,Mcdonough,Henry County,33.455031,-84.17215,101462,34107,0,0,0,6,46,80,15.202937191899373,0.0
343,Meansville,Pike County,33.015476,-84.32186999999998,2589,28670,0,0,1,2,21,74,8.973417926310603,0.0
344,Meigs,Cherokee County,31.082140999999996,-84.05767,2774,18770,0,0,0,3,11,23,13.41510290773735,0.0
345,Meldrim,Effingham County,32.141974,-81.37892,432,30022,0,0,0,3,10,21,15.6973817078621,0.0
346,Menlo,Montgomery County,34.553484999999995,-85.47893,2221,25386,0,0,0,0,8,48,25.03960976628576,0.0
347,Mershon,Clark County,31.496025,-82.27322,963,17451,0,0,0,1,8,33,19.18104733198217,0.0
348,Midland,Midland County,32.566196999999995,-84.84121999999998,10815,45584,0,0,1,2,6,55,6.7772255229429765,0.0
349,Midville,Burke County,32.792831,-82.23715,1701,20953,0,0,0,2,13,38,15.204502643800582,0.0
350,Midway,Cook County,31.788811,-81.37637,8258,30553,0,0,0,1,9,19,13.667640100911818,0.0
351,Milan,Metropolitan City of Milan,32.003035,-83.06336999999998,1866,21939,0,0,0,1,11,47,14.249828937255769,0.0
352,Millwood,Oklahoma County,31.281103,-82.6201,842,19049,0,0,0,2,11,32,16.557624206814744,0.0
353,Milner,McCracken County,33.136567,-84.19386,4345,26406,0,0,1,4,31,74,8.259844715887784,0.0
354,Mineral Bluff,Fannin County,34.949754999999996,-84.28317,4701,20721,0,0,1,2,9,54,5.62616061581144,0.0
355,Mitchell,Montgomery County,33.224199,-82.713,1112,24795,0,0,0,1,11,51,16.594720500772848,0.0
356,Molena,Pike County,32.999261,-84.47168,3047,24274,0,0,0,2,16,74,11.067883011131412,0.0
357,Montrose,Montrose County,32.564036,-83.16019,1193,23144,0,0,0,1,13,53,16.474739581559913,0.0
358,Moreland,Santa Clara County,33.277468,-84.75388000000002,2886,31997,0,0,2,3,33,70,5.536823618427528,0.0
359,Morganton,Burke County,34.887912,-84.2098,4759,22082,0,0,1,2,12,54,9.56725560339957,0.0
360,Morrow,Clayton County,33.500696999999995,-84.35127299999998,25487,22111,0,0,2,8,42,81,5.858305295976838,0.0
361,Morven,Anson County,30.935087,-83.50211,1107,16146,0,0,0,3,12,23,10.225946387757096,0.0
362,Mount Airy,Surry County,34.549681,-83.47201,5955,25963,0,1,2,2,12,58,4.294708901183922,0.0
363,Mount Berry,Floyd County,34.280355,-85.182085,1935,3561,0,2,2,3,16,58,0.7720615130662436,0.0
364,Mount Vernon,Fairfax County,32.186824,-82.59170999999998,3929,14563,0,0,0,1,9,48,12.746254451260137,0.0
365,Mountain City,Johnson County,34.917466,-83.38486999999998,1386,16843,0,0,0,0,8,47,21.03649799759554,0.0
366,Murrayville,New Hanover County,34.466226,-83.88441999999998,3414,25034,0,0,1,2,26,65,6.517229096225029,0.0
367,Musella,Crawford County,32.799959,-84.00588,1492,26875,0,0,0,3,17,72,16.337099481010853,0.0
368,Nahunta,Wayne County,31.17326,-81.97244,4369,16798,0,0,0,0,5,25,22.528153938988822,0.0
369,Naylor,Burnet County,30.934298,-83.08841,1966,25788,0,0,1,2,11,26,7.444310992154602,0.0
370,Newborn,Tulsa County,33.500008,-83.67165,2217,29643,0,0,0,3,40,81,12.335095376564498,0.0
371,Newington,Hartford County,32.567281,-81.48626999999998,1251,17946,0,0,0,3,9,21,15.681047487619882,0.0
372,Nicholls,Lafourche Parish,31.49598300000001,-82.62928000000002,8611,22315,0,0,0,1,9,39,13.898284600197297,0.0
373,Nicholson,Jackson County,34.094345000000004,-83.41617,4424,26805,0,0,1,2,20,71,9.113562326097457,0.0
374,Norcross,Gwinnett County,33.940768,-84.2062,115744,29016,0,2,9,24,45,75,1.9625906241806008,0.0
375,Norman Park,Colquitt County,31.256287,-83.66005,6204,20124,0,0,0,3,14,27,11.469246010601397,0.0
376,Norwood,Norfolk County,33.477946,-82.73454,765,21974,0,0,0,1,11,65,13.792054257505702,0.0
377,Nunez,St. Bernard Parish,32.49126,-82.36787,76,41250,0,0,1,3,10,43,7.097645236236212,0.0
378,Oakfield,Fond du Lac County,31.723178000000004,-83.9628,536,20446,0,0,0,3,12,36,14.573458731768476,0.0
379,Oakwood,Tarrant County,34.236556,-83.89115,7736,27851,0,0,2,4,40,72,6.3381858002939255,0.0
380,Ochlocknee,Thomas County,30.977162,-84.0615,3547,24837,0,0,0,3,10,21,11.73985161583232,0.0
381,Oconee,Oconee County,32.860031,-82.95019,252,25227,0,0,0,1,13,50,12.64110842971314,0.0
382,Odum,Oklahoma County,31.670475,-82.04944,2793,22345,0,0,0,1,9,29,10.024996396369074,0.0
383,Offerman,Pierce County,31.412649,-82.11554100000002,88,18958,0,0,0,2,8,29,18.160913190930486,0.0
384,Oglethorpe,DeKalb County,32.329164,-84.07988,5079,24861,0,1,1,1,14,48,3.7906350813379994,0.0
385,Oliver,Tulsa County,32.528104,-81.533198,163,25625,0,0,0,3,11,22,15.917553185607915,0.0
386,Omaha,Douglas County,32.1342,-84.98499,263,18622,0,0,0,0,3,30,23.84479506985306,0.0
387,Omega,Tulsa County,31.334062,-83.59971,3339,21320,0,0,0,4,16,28,11.410764994341276,0.0
388,Oxford,Oxfordshire,33.658113,-83.86249000000002,11904,25394,0,1,2,4,41,80,4.00161985948498,0.0
389,Palmetto,Greenville County,33.527793,-84.69453,10434,23888,0,0,0,6,41,73,10.528802826404654,0.0
390,Patterson,Tulsa County,31.372403000000002,-82.10743000000002,3229,25316,0,0,0,2,8,28,17.480531753075468,0.0
391,Pavo,King County,30.966781,-83.72075,2316,20846,0,0,0,4,10,23,11.510417549337125,0.0
392,Peachtree City,Fayette County,33.398992,-84.57061999999998,35904,47760,0,0,1,4,38,74,5.17348037601164,0.0
393,Pearson,Shawnee County,31.272909999999996,-82.83341999999998,4779,20696,0,0,0,2,11,33,16.479428579619736,0.0
394,Pelham,Westchester County,31.117271000000002,-84.15678,9998,22604,0,0,1,1,9,23,8.266679228022895,0.0
395,Pembroke,Robeson County,32.163245,-81.64211,7640,24346,0,0,0,2,12,24,15.044399844384273,0.0
396,Pendergrass,Jackson County,34.167309,-83.68536,3188,29817,0,0,1,4,38,72,9.339601578749104,0.0
397,Perkins,Kay County,32.914843,-81.87901,784,17292,0,0,1,2,10,25,8.272118511358478,0.0
398,Pine Lake,DeKalb County,33.791505,-84.20642,727,40599,0,3,8,24,45,79,3.399658598166778,0.0
399,Pine Mountain,Cobb County,32.867211,-84.88436999999998,5929,26832,0,0,0,2,10,66,11.795640424049246,0.0
400,Pine Mountain Valley,Harris County,32.801173999999996,-84.82038,797,25568,0,0,0,2,9,63,10.028259743596111,0.0
401,Pinehurst,Moore County,32.185677,-83.76348,985,29792,0,0,0,4,17,50,14.379116419916793,0.0
402,Pineview,Forrest County,32.13702,-83.52604000000002,1200,20574,0,0,0,2,16,49,11.251364562084579,0.0
403,Pitts,Montgomery County,31.951839,-83.56747,1357,23417,0,0,0,1,15,47,12.68486812698283,0.0
404,Plains,Meade County,32.026125,-84.39361,2100,20239,0,0,1,1,9,39,8.573401279954442,0.0
405,Plainville,Hartford County,34.409661,-85.03345,2143,23214,0,0,1,4,16,59,9.244094520600523,0.0
406,Pooler,Chatham County,32.110421,-81.24568000000002,25459,40454,0,0,0,3,7,17,10.26223796515963,0.0
407,Portal,Alameda County,32.55565900000001,-81.9242,2192,15615,0,0,0,3,9,31,13.155839454435135,0.0
408,Porterdale,Newton County,33.576043,-83.89820999999998,484,12149,0,1,2,5,41,81,3.3894026233199703,0.0
409,Poulan,Richmond County,31.526584000000003,-83.79025,2264,23711,0,1,1,2,13,35,3.1244808768361563,0.0
410,Powder Springs,Cobb County,33.87455300000001,-84.68784000000002,67688,34615,0,1,3,15,41,74,4.925014391059722,0.0
411,Preston,Montgomery County,32.051618,-84.53419,1695,20767,0,0,0,1,7,35,16.3815428973155,0.0
412,Rabun Gap,Rabun County,34.952452,-83.4073,1645,27471,0,0,0,1,6,46,19.66580603860075,0.0
413,Ranger,New York County,34.531444,-84.69955,3779,26104,0,0,0,3,26,60,13.019472418091155,0.0
414,Ray City,Berrien County,31.070627,-83.20286,5053,24453,0,0,2,4,13,28,7.182504971600811,0.0
415,Rayle,Wilkes County,33.775127000000005,-82.94624,1204,15085,0,0,0,0,9,66,23.66537173624815,0.0
416,Rebecca,New York County,31.767985999999997,-83.47325,883,26758,0,0,0,2,16,41,13.466171759219959,0.0
417,Register,Montgomery County,32.327219,-81.89818000000002,1372,24971,0,0,1,3,10,29,9.588321785562215,0.0
418,Rentz,Pasco County,32.370333,-82.96091,2677,20211,0,0,0,1,11,54,17.99519414053476,0.0
419,Resaca,Gordon County,34.604648,-84.91926,6334,23011,0,0,1,3,13,56,6.5223355695198855,0.0
420,Rex,New York County,33.582877,-84.26906,14663,29719,0,0,1,15,45,81,6.961759981463633,0.0
421,Reynolds,Montgomery County,32.54748,-84.10042,3414,19802,0,0,0,1,17,66,17.94017550821886,0.0
422,Riceboro,Liberty County,31.658252,-81.48778,1213,21571,0,0,0,1,8,19,14.153457085047288,0.0
423,Richland,Dallas County,32.109225,-84.66063,2358,22500,0,0,0,0,6,33,23.93764299704664,0.0
424,Richmond Hill,Bryan County,31.919866,-81.325815,25643,37143,0,0,0,3,8,18,15.199849949505639,0.0
425,Ringgold,Catoosa County,34.916552,-85.14435,43149,29406,0,0,1,2,7,45,7.1080745875742055,0.0
426,Rising Fawn,Dade County,34.793833,-85.49945,3766,23759,0,0,0,1,6,41,17.038342160073196,0.0
427,Roberta,Crawford County,32.702635,-84.03811,2973,22416,0,0,0,1,17,71,17.590966395755533,0.0
428,Rochelle,Ogle County,31.933079,-83.45721999999998,2161,24764,0,0,0,2,16,47,19.283318644871333,0.0
429,Rock Spring,Walker County,34.801988,-85.21956,6460,29036,0,0,0,2,8,47,10.30519373472643,0.0
430,Rockledge,Brevard County,32.432854,-82.72979000000002,680,18226,0,0,0,0,9,49,24.909199176004662,0.0
431,Rockmart,Polk County,33.987497,-85.05508,18375,24357,0,0,1,3,35,63,8.32350916515597,0.0
432,Rocky Face,Alexander County,34.757918,-85.05879,8457,28792,0,1,1,4,10,55,4.7519968862741,0.0
433,Rocky Ford,Otero County,32.697762,-81.81036,465,22095,0,0,0,3,9,24,10.181302430863562,0.0
434,Roopville,Carroll County,33.434562,-85.16973,2943,25863,0,0,0,1,12,63,10.819975750231361,0.0
435,Rossville,Clinton County,34.96311,-85.27405,28535,21496,0,1,1,1,6,43,1.2529645306279875,0.0
436,Royston,Franklin County,34.270167,-83.12841999999998,9077,19505,0,0,0,3,9,61,11.747352134936243,0.0
437,Rutledge,Delaware County,33.614556,-83.61157,3052,20060,0,0,1,3,38,80,8.629965441208238,0.0
438,Rydal,Montgomery County,34.346142,-84.73232,3467,25700,0,0,0,4,38,62,10.597768339625306,0.0
439,Saint Marys,Jasper County,30.761081,-81.56912,21307,29862,0,1,1,1,2,13,3.059934395376641,0.0
440,Saint Simons Island,Glynn County,31.176515999999996,-81.3802,16402,42933,0,0,1,1,4,16,6.177772679565186,0.0
441,Sale City,Mitchell County,31.258794,-84.02897,764,25292,0,0,0,2,10,27,10.628029875940243,0.0
442,Sapelo Island,McIntosh County,31.423776,-81.27064,187,45649,0,0,0,0,6,17,21.279334873776314,0.0
443,Sardis,Montgomery County,32.969028,-81.79396,1936,20675,0,0,0,2,10,25,13.984614723071289,0.0
444,Sautee Nacoochee,White County,34.696896,-83.68012,3545,29688,0,0,0,2,13,60,11.40945885097573,0.0
445,Scottdale,Westmoreland County,33.791537,-84.25994,2824,27753,0,6,17,24,46,78,1.0214152645670938,0.0
446,Screven,Screven County,31.515981,-82.04908,2853,23512,0,0,0,1,8,28,10.555635590869722,0.0
447,Senoia,Coweta County,33.281102000000004,-84.58017,15245,34839,0,0,0,4,35,72,11.423416627856193,0.0
448,Seville,Seville,31.989039000000002,-83.394574,43,14453,0,0,0,1,14,48,18.560530663391315,0.0
449,Shady Dale,Jasper County,33.421694,-83.61433000000002,1292,22500,0,0,1,4,29,80,8.489892187500502,0.0
450,Sharon,Norfolk County,33.560693,-82.80015,28,30500,0,0,0,1,11,67,17.411318783951238,0.0
451,Sharpsburg,Washington County,33.387534,-84.65511,22247,39430,0,0,3,3,36,72,5.955549972226495,0.0
452,Shiloh,Hardin County,32.803518,-84.69384000000002,2238,22196,0,0,1,1,10,67,5.945656905170754,0.0
453,Siloam,Lifou,33.535009,-83.07786999999998,67,16375,0,0,0,1,11,72,10.179814467691827,0.0
454,Silver Creek,Chautauqua County,34.145931,-85.14341999999998,5799,25726,0,0,3,3,22,60,8.062491597053025,0.0
455,Smithville,Clay County,31.901065999999997,-84.25036999999998,1566,21579,0,0,0,1,8,37,11.430669345309262,0.0
456,Smyrna,Cobb County,33.859137,-84.53744,84372,39592,0,1,3,22,45,76,3.875739395746883,0.0
457,Snellville,Gwinnett County,33.822204,-84.03707,81950,31806,0,0,2,20,43,77,9.780703277916809,0.0
458,Social Circle,Walton County,33.65072,-83.70779,9308,31112,0,0,1,4,40,81,8.761630001416343,0.0
459,Soperton,Treutlen County,32.387041,-82.58272,5885,21206,0,0,0,2,11,47,17.23551079288244,0.0
460,Sparks,Washoe County,31.183567,-83.43559,3660,18750,0,0,1,2,14,30,5.178271615230463,0.0
461,Stapleton,Denver County,33.234802,-82.46303,1837,18444,0,0,0,1,10,41,19.992161614984642,0.0
462,Statenville,Echols County,30.703175,-83.02568000000002,912,26356,0,0,0,1,6,22,18.953086585476157,0.0
463,Statham,Barrow County,33.957713,-83.58491,10214,27892,0,0,1,4,39,79,7.864085463299186,0.0
464,Stephens,Boone County,33.784316,-83.16666,954,25027,0,0,0,0,14,73,21.325039339475094,0.0
465,Stillmore,Emanuel County,32.439708,-82.22278,83,16429,0,0,1,3,9,39,9.451053430057248,0.0
466,Stockbridge,Henry County,33.547578,-84.21809,67533,31020,0,0,0,14,45,81,10.139601872234307,0.0
467,Stockton,San Joaquin County,30.957421000000004,-83.00524,1096,32178,0,0,1,3,11,26,7.5739546997699225,0.0
468,Stone Mountain,DeKalb County,33.891251000000004,-84.07455999999998,128310,27196,0,0,2,22,45,77,5.943181165686177,0.0
469,Suches,Union County,34.731084,-84.07943,796,21199,0,0,0,2,15,59,12.574923737128659,0.0
470,Sugar Valley,Gordon County,34.574804,-85.02481999999998,940,21581,0,0,1,3,13,56,7.169500121707274,0.0
471,Summerville,Dorchester County,34.489847999999995,-85.32928000000003,15438,22099,0,0,0,2,8,51,16.5716284677914,0.0
472,Sumner,Noble County,31.484090999999996,-83.73515,855,24138,0,0,1,2,14,32,6.494379447240022,0.0
473,Sunny Side,Johnson County,33.345253,-84.289814,96,25938,0,0,1,4,43,76,7.4171056650718645,0.0
474,Surrency,Appling County,31.715778000000004,-82.19784,1296,23250,0,0,0,1,9,32,19.250086240703983,0.0
475,Suwanee,Gwinnett County,34.052698,-84.07485,77334,44131,0,0,4,13,42,74,5.893305571430954,0.0
476,Sycamore,Boone County,31.652541999999997,-83.57934,1788,22479,0,0,0,4,15,37,13.545046815924273,0.0
477,Talbotton,Talbot County,32.683146,-84.52243,2174,19152,0,0,0,2,13,65,17.01386143313533,0.0
478,Talking Rock,Pickens County,34.537611,-84.51135,5544,22759,0,0,1,1,27,62,7.295085718179378,0.0
479,Tallapoosa,Haralson County,33.748838,-85.29304,6594,25903,0,0,0,2,13,60,17.642671932618132,0.0
480,Tallulah Falls,Habersham County,34.742007,-83.397716,219,49114,0,0,0,2,9,53,10.661287332870788,0.0
481,Talmo,Jackson County,34.191571,-83.71124,1533,26052,0,0,2,4,39,72,8.782936725940163,0.0
