,Median Income,Population,State_Code,ZIP,City,State
533,16595,1103,13,53116,Mountain, Georgia
139,33153,13877,13,53186,Mountain Park, Georgia
278,45278,625,13,53172,Mountain Park, Georgia
125,14747,775,13,54124,Nahunta, Georgia
507,18448,4813,13,54264,Nashville, Georgia
279,30727,1573,13,54572,Nelson, Georgia
591,24236,734,13,54656,Newborn, Georgia
92,20375,276,13,54992,Newington, Georgia
207,31433,37818,13,55020,Newnan, Georgia
461,17424,840,13,55244,Newton, Georgia
613,16822,3870,13,55440,Nicholls, Georgia
117,22577,1781,13,55468,Nicholson, Georgia
616,27212,16369,13,55776,Norcross, Georgia
259,26091,1024,13,55860,Norman Park, Georgia
384,9464,84,13,55944,Norris, Georgia
265,44464,17298,13,56112,North Decatur, Georgia
2,42043,17287,13,56168,North Druid Hills, Georgia
447,29875,707,13,56308,North High Shoals, Georgia
44,18393,242,13,56560,Norwood, Georgia
329,22788,169,13,56644,Nunez, Georgia
248,20455,717,13,57232,Oak Park, Georgia
609,25353,4124,13,57260,Oakwood, Georgia
147,21161,633,13,57372,Ochlocknee, Georgia
157,17131,3487,13,57428,Ocilla, Georgia
150,24350,370,13,57456,Oconee, Georgia
330,24779,506,13,57540,Odum, Georgia
293,21071,474,13,57568,Offerman, Georgia
113,20263,1288,13,57736,Oglethorpe, Georgia
104,19292,382,13,58100,Oliver, Georgia
498,18111,1256,13,58184,Omega, Georgia
35,15000,250,13,58296,Orchard Hill, Georgia
540,15696,2109,13,58744,Oxford, Georgia
572,21342,5089,13,58884,Palmetto, Georgia
506,21527,10581,13,59080,Panthersville, Georgia
229,14583,139,13,59416,Parrott, Georgia
16,26681,647,13,59500,Patterson, Georgia
166,19330,598,13,59556,Pavo, Georgia
250,48054,35165,13,59724,Peachtree, Georgia
399,36006,42463,13,59735,Peachtree Corners, Georgia
140,20802,2036,13,59808,Pearson, Georgia
174,21001,3609,13,59976,Pelham, Georgia
161,26952,2447,13,60004,Pembroke, Georgia
331,30313,487,13,60032,Pendergrass, Georgia
385,32820,225,13,60312,Perkins, Georgia
561,24866,16031,13,60340,Perry, Georgia
573,20313,922,13,60508,Phillipsburg, Georgia
264,40859,747,13,61040,Pine Lake, Georgia
589,24366,1440,13,61124,Pine Mountain, Georgia
6,16333,423,13,60984,Pinehurst, Georgia
596,15956,525,13,61320,Pineview, Georgia
482,18611,383,13,61544,Pitts, Georgia
602,15281,658,13,61628,Plains, Georgia
419,22273,403,13,61684,Plainville, Georgia
20,38801,23102,13,62104,Pooler, Georgia
203,40625,7946,13,62328,Port Wentworth, Georgia
427,19115,606,13,62216,Portal, Georgia
333,14948,1742,13,62244,Porterdale, Georgia
476,23690,729,13,62496,Poulan, Georgia
11,31418,14945,13,62524,Powder Springs, Georgia
4,19750,309,13,63000,Pulaski, Georgia
120,26422,2250,13,63084,Putney, Georgia
508,21938,3771,13,63224,Quitman, Georgia
486,16563,137,13,63560,Ranger, Georgia
466,17694,2937,13,63588,Raoul, Georgia
197,27056,1076,13,63728,Ray, Georgia
472,15069,235,13,63756,Rayle, Georgia
340,19519,237,13,63840,Rebecca, Georgia
65,23940,32357,13,63952,Redan, Georgia
220,26557,2535,13,64288,Reed Creek, Georgia
0,23250,116,13,64372,Register, Georgia
577,18615,2642,13,64512,Reidsville, Georgia
94,16076,1224,13,64596,Remerton, Georgia
341,18125,285,13,64680,Rentz, Georgia
342,23162,960,13,64736,Resaca, Georgia
156,-666666666,179,13,64792,Rest Haven, Georgia
343,17407,1119,13,64876,Reynolds, Georgia
23,13971,499,13,64932,Rhine, Georgia
97,19125,641,13,64960,Riceboro, Georgia
451,17760,1637,13,65016,Richland, Georgia
198,33762,12203,13,65044,Richmond Hill, Georgia
45,25000,46,13,65156,Riddleville, Georgia
344,36034,9863,13,65296,Rincon, Georgia
168,22262,3563,13,65324,Ringgold, Georgia
